Datetime,Close,High,Low,Open,Volume
2026-05-04 04:00:00+00:00,4625.0,4626.5,4623.89990234375,4626.5,0
2026-05-04 04:01:00+00:00,4625.2998046875,4626.0,4624.2001953125,4624.89990234375,33
2026-05-04 04:02:00+00:00,4625.2998046875,4625.7998046875,4624.5,4625.2001953125,25
2026-05-04 04:03:00+00:00,4620.39990234375,4624.7001953125,4620.2001953125,4624.7001953125,154
2026-05-04 04:04:00+00:00,4621.60009765625,4621.60009765625,4618.39990234375,4620.2998046875,96
2026-05-04 04:05:00+00:00,4621.5,4622.7998046875,4621.5,4621.60009765625,40
2026-05-04 04:06:00+00:00,4621.7998046875,4621.89990234375,4620.7001953125,4621.2998046875,21
2026-05-04 04:07:00+00:00,4623.10009765625,4623.2998046875,4622.10009765625,4622.2998046875,21
2026-05-04 04:08:00+00:00,4620.5,4622.0,4620.5,4622.0,9
2026-05-04 04:09:00+00:00,4622.0,4622.0,4620.7998046875,4620.7998046875,8
2026-05-04 04:10:00+00:00,4621.7998046875,4622.39990234375,4621.60009765625,4621.60009765625,12
2026-05-04 04:11:00+00:00,4621.39990234375,4622.10009765625,4621.39990234375,4621.7001953125,19
2026-05-04 04:12:00+00:00,4621.60009765625,4621.60009765625,4621.60009765625,4621.60009765625,1
2026-05-04 04:13:00+00:00,4623.0,4623.39990234375,4622.0,4622.10009765625,15
2026-05-04 04:14:00+00:00,4622.2001953125,4623.10009765625,4622.0,4622.5,34
2026-05-04 04:15:00+00:00,4622.7998046875,4622.7998046875,4621.2001953125,4622.5,16
2026-05-04 04:16:00+00:00,4622.5,4623.0,4622.5,4623.0,3
2026-05-04 04:17:00+00:00,4623.5,4623.7001953125,4622.60009765625,4622.60009765625,8
2026-05-04 04:18:00+00:00,4624.10009765625,4624.10009765625,4624.10009765625,4624.10009765625,2
2026-05-04 04:19:00+00:00,4622.60009765625,4623.60009765625,4622.60009765625,4623.60009765625,12
2026-05-04 04:20:00+00:00,4622.60009765625,4623.2001953125,4621.7001953125,4621.7998046875,29
2026-05-04 04:21:00+00:00,4622.39990234375,4622.5,4622.0,4622.2001953125,9
2026-05-04 04:22:00+00:00,4619.89990234375,4621.39990234375,4619.5,4621.39990234375,21
2026-05-04 04:23:00+00:00,4620.89990234375,4620.89990234375,4619.2998046875,4620.0,37
2026-05-04 04:24:00+00:00,4620.39990234375,4621.2998046875,4619.10009765625,4620.2001953125,63
2026-05-04 04:25:00+00:00,4620.2998046875,4622.0,4619.89990234375,4620.5,66
2026-05-04 04:26:00+00:00,4619.7998046875,4620.60009765625,4619.2998046875,4620.2001953125,21
2026-05-04 04:27:00+00:00,4619.39990234375,4619.7998046875,4618.89990234375,4619.7998046875,13
2026-05-04 04:28:00+00:00,4619.2998046875,4619.5,4619.0,4619.0,4
2026-05-04 04:29:00+00:00,4619.2001953125,4619.2001953125,4618.0,4618.7998046875,22
2026-05-04 04:30:00+00:00,4618.7998046875,4619.60009765625,4618.2998046875,4619.2001953125,33
2026-05-04 04:31:00+00:00,4622.39990234375,4623.60009765625,4619.2998046875,4619.2998046875,134
2026-05-04 04:32:00+00:00,4622.10009765625,4622.5,4622.0,4622.5,7
2026-05-04 04:33:00+00:00,4619.7998046875,4622.0,4619.5,4621.2998046875,35
2026-05-04 04:34:00+00:00,4621.89990234375,4622.60009765625,4619.60009765625,4619.60009765625,47
2026-05-04 04:35:00+00:00,4623.2001953125,4623.2001953125,4621.60009765625,4621.7998046875,25
2026-05-04 04:36:00+00:00,4623.0,4623.5,4622.39990234375,4623.2001953125,45
2026-05-04 04:37:00+00:00,4623.10009765625,4623.5,4623.0,4623.0,10
2026-05-04 04:38:00+00:00,4622.60009765625,4624.2001953125,4622.60009765625,4623.2001953125,23
2026-05-04 04:39:00+00:00,4621.10009765625,4622.7001953125,4621.10009765625,4622.7001953125,37
2026-05-04 04:40:00+00:00,4620.7998046875,4621.7001953125,4620.60009765625,4621.2001953125,23
2026-05-04 04:41:00+00:00,4620.7001953125,4622.10009765625,4620.5,4620.7998046875,58
2026-05-04 04:42:00+00:00,4618.89990234375,4620.2001953125,4618.89990234375,4619.7998046875,21
2026-05-04 04:43:00+00:00,4618.89990234375,4619.39990234375,4618.0,4618.7001953125,41
2026-05-04 04:44:00+00:00,4620.2001953125,4620.39990234375,4619.2998046875,4619.39990234375,11
2026-05-04 04:45:00+00:00,4619.5,4620.39990234375,4619.0,4620.39990234375,17
2026-05-04 04:46:00+00:00,4619.7001953125,4619.7001953125,4618.89990234375,4619.39990234375,16
2026-05-04 04:47:00+00:00,4619.39990234375,4619.7998046875,4618.7998046875,4619.39990234375,17
2026-05-04 04:48:00+00:00,4618.39990234375,4618.89990234375,4618.2001953125,4618.89990234375,9
2026-05-04 04:49:00+00:00,4618.39990234375,4619.60009765625,4618.0,4618.2001953125,12
2026-05-04 04:50:00+00:00,4619.39990234375,4619.39990234375,4618.2998046875,4618.2998046875,21
2026-05-04 04:51:00+00:00,4620.89990234375,4621.0,4619.60009765625,4619.60009765625,13
2026-05-04 04:52:00+00:00,4621.60009765625,4621.60009765625,4620.39990234375,4620.39990234375,5
2026-05-04 04:53:00+00:00,4619.2998046875,4621.39990234375,4618.60009765625,4621.39990234375,37
2026-05-04 04:54:00+00:00,4619.2001953125,4619.5,4619.2001953125,4619.5,4
2026-05-04 04:55:00+00:00,4616.7998046875,4618.10009765625,4616.39990234375,4618.10009765625,43
2026-05-04 04:56:00+00:00,4616.60009765625,4617.5,4615.7998046875,4616.2998046875,50
2026-05-04 04:57:00+00:00,4618.0,4618.0,4616.2998046875,4616.2998046875,11
2026-05-04 04:58:00+00:00,4617.5,4618.2001953125,4617.2001953125,4617.7001953125,10
2026-05-04 04:59:00+00:00,4616.60009765625,4617.7998046875,4616.10009765625,4617.10009765625,41
2026-05-04 05:00:00+00:00,4616.2001953125,4617.10009765625,4615.5,4616.0,73
2026-05-04 05:01:00+00:00,4616.7001953125,4617.39990234375,4616.10009765625,4616.5,40
2026-05-04 05:02:00+00:00,4615.10009765625,4615.7001953125,4614.39990234375,4615.7001953125,45
2026-05-04 05:03:00+00:00,4614.7998046875,4615.7001953125,4614.2001953125,4615.60009765625,10
2026-05-04 05:04:00+00:00,4615.0,4615.60009765625,4614.7998046875,4615.0,11
2026-05-04 05:05:00+00:00,4615.2001953125,4615.2001953125,4614.39990234375,4615.0,20
2026-05-04 05:06:00+00:00,4617.10009765625,4617.10009765625,4614.89990234375,4614.89990234375,40
2026-05-04 05:07:00+00:00,4616.0,4617.7001953125,4616.0,4617.2998046875,16
2026-05-04 05:08:00+00:00,4615.0,4615.7998046875,4614.89990234375,4615.7998046875,27
2026-05-04 05:09:00+00:00,4616.89990234375,4616.89990234375,4614.5,4614.89990234375,16
2026-05-04 05:10:00+00:00,4615.89990234375,4617.5,4615.89990234375,4616.89990234375,17
2026-05-04 05:11:00+00:00,4616.89990234375,4616.89990234375,4615.89990234375,4616.60009765625,10
2026-05-04 05:12:00+00:00,4615.5,4617.10009765625,4615.5,4617.0,11
2026-05-04 05:13:00+00:00,4612.60009765625,4614.89990234375,4612.60009765625,4614.89990234375,83
2026-05-04 05:14:00+00:00,4613.89990234375,4614.89990234375,4613.10009765625,4613.10009765625,21
2026-05-04 05:15:00+00:00,4614.2998046875,4615.10009765625,4613.5,4614.7998046875,45
2026-05-04 05:16:00+00:00,4612.39990234375,4614.39990234375,4611.7998046875,4614.10009765625,57
2026-05-04 05:17:00+00:00,4612.7001953125,4614.7001953125,4611.7001953125,4612.2998046875,47
2026-05-04 05:18:00+00:00,4615.0,4615.7998046875,4612.2001953125,4612.7001953125,112
2026-05-04 05:19:00+00:00,4622.0,4624.0,4615.0,4615.10009765625,275
2026-05-04 05:20:00+00:00,4620.39990234375,4622.10009765625,4618.2001953125,4621.7001953125,93
2026-05-04 05:21:00+00:00,4620.39990234375,4620.89990234375,4619.7001953125,4620.39990234375,23
2026-05-04 05:22:00+00:00,4621.7998046875,4622.7001953125,4619.89990234375,4620.7001953125,48
2026-05-04 05:23:00+00:00,4621.7001953125,4623.7001953125,4621.0,4621.2998046875,55
2026-05-04 05:24:00+00:00,4615.7998046875,4620.60009765625,4615.60009765625,4620.60009765625,101
2026-05-04 05:25:00+00:00,4612.2998046875,4616.5,4612.0,4616.10009765625,55
2026-05-04 05:26:00+00:00,4612.2998046875,4612.60009765625,4611.0,4612.60009765625,107
2026-05-04 05:27:00+00:00,4609.10009765625,4612.7001953125,4607.0,4612.2998046875,179
2026-05-04 05:28:00+00:00,4608.5,4610.2001953125,4608.5,4609.7001953125,28
2026-05-04 05:29:00+00:00,4607.2998046875,4609.2001953125,4606.39990234375,4608.2001953125,48
